X,CH1,
Second,Volt,
3.38293e-02,-7.99e-02,
3.38313e-02,2.76e+00,
3.38333e-02,2.76e+00,
3.38353e-02,-7.99e-02,
3.38373e-02,-7.99e-02,
3.38393e-02,2.76e+00,
3.38413e-02,-7.99e-02,
3.38433e-02,6.00e-01,
3.38453e-02,2.76e+00,
3.38473e-02,-7.99e-02,
3.38493e-02,-7.99e-02,
3.38513e-02,2.76e+00,
3.38533e-02,-7.99e-02,
3.38553e-02,4.00e-02,
3.38573e-02,2.76e+00,
3.38593e-02,-7.99e-02,
3.38613e-02,-7.99e-02,
3.38633e-02,2.76e+00,
3.38653e-02,-7.99e-02,
3.38673e-02,4.00e-02,
3.38693e-02,-7.99e-02,
3.38713e-02,2.76e+00,
3.38733e-02,-7.99e-02,
3.38753e-02,2.76e+00,
3.38773e-02,2.76e+00,
3.38793e-02,-7.99e-02,
3.38813e-02,-7.99e-02,
3.38833e-02,2.76e+00,
3.38853e-02,-7.99e-02,
3.38873e-02,2.76e+00,
3.38893e-02,2.76e+00,
3.38913e-02,-7.99e-02,
3.38933e-02,-7.99e-02,
3.38953e-02,2.76e+00,
3.38973e-02,-7.99e-02,
3.38993e-02,4.00e-02,
3.39013e-02,-7.99e-02,
3.39033e-02,2.76e+00,
3.39053e-02,-7.99e-02,
3.39073e-02,2.76e+00,
3.39093e-02,-7.99e-02,
3.39113e-02,4.00e-02,
3.39133e-02,-7.99e-02,
3.39153e-02,2.76e+00,
3.39173e-02,-7.99e-02,
3.39193e-02,2.76e+00,
3.39213e-02,2.72e+00,
3.39233e-02,-7.99e-02,
3.39253e-02,-7.99e-02,
3.39273e-02,2.76e+00,
3.39293e-02,-7.99e-02,
3.39313e-02,2.80e+00,
3.39333e-02,2.76e+00,
3.39353e-02,-7.99e-02,
3.39373e-02,-7.99e-02,
3.39393e-02,2.76e+00,
3.39413e-02,-7.99e-02,
3.39433e-02,4.00e-02,
3.39453e-02,-7.99e-02,
3.39473e-02,2.76e+00,
3.39493e-02,-7.99e-02,
3.39513e-02,2.76e+00,
3.39533e-02,-7.99e-02,
3.39553e-02,4.00e-02,
3.39573e-02,-7.99e-02,
3.39593e-02,2.76e+00,
3.39613e-02,-7.99e-02,
3.39633e-02,2.76e+00,
3.39653e-02,-7.99e-02,
3.39673e-02,4.00e-02,
3.39693e-02,-7.99e-02,
3.39713e-02,2.76e+00,
3.39733e-02,-7.99e-02,
3.39753e-02,2.76e+00,
3.39773e-02,2.76e+00,
3.39793e-02,-7.99e-02,
3.39813e-02,-7.99e-02,
3.39833e-02,2.76e+00,
3.39853e-02,-7.99e-02,
3.39873e-02,1.80e+00,
3.39893e-02,2.76e+00,
3.39913e-02,-7.99e-02,
3.39933e-02,-7.99e-02,
3.39953e-02,2.76e+00,
3.39973e-02,-7.99e-02,
3.39993e-02,4.00e-02,
3.40013e-02,2.76e+00,
3.40033e-02,-7.99e-02,
3.40053e-02,-7.99e-02,
3.40073e-02,2.76e+00,
3.40093e-02,-7.99e-02,
3.40113e-02,4.00e-02,
3.40133e-02,-7.99e-02,
3.40153e-02,2.76e+00,
3.40173e-02,-7.99e-02,
3.40193e-02,2.76e+00,
3.40213e-02,2.76e+00,
3.40233e-02,-7.99e-02,
3.40253e-02,-7.99e-02,
3.40273e-02,2.76e+00,
3.40293e-02,-7.99e-02,
3.40313e-02,2.76e+00,
3.40333e-02,2.76e+00,
3.40353e-02,-7.99e-02,
3.40373e-02,-7.99e-02,
3.40393e-02,2.76e+00,
3.40413e-02,4.00e-02,
3.40433e-02,-7.99e-02,
3.40453e-02,-7.99e-02,
3.40473e-02,2.76e+00,
3.40493e-02,-7.99e-02,
3.40513e-02,2.76e+00,
3.40533e-02,-7.99e-02,
3.40553e-02,4.00e-02,
3.40573e-02,-7.99e-02,
3.40593e-02,2.76e+00,
3.40613e-02,-7.99e-02,
3.40633e-02,2.76e+00,
3.40653e-02,2.76e+00,
3.40673e-02,-7.99e-02,
3.40693e-02,-7.99e-02,
3.40713e-02,2.76e+00,
3.40733e-02,-7.99e-02,
3.40753e-02,2.76e+00,
3.40773e-02,2.76e+00,
3.40793e-02,-7.99e-02,
3.40813e-02,-7.99e-02,
3.40833e-02,2.76e+00,
3.40853e-02,-7.99e-02,
3.40873e-02,4.00e-02,
3.40893e-02,2.76e+00,
3.40913e-02,-7.99e-02,
3.40933e-02,-7.99e-02,
3.40953e-02,2.76e+00,
3.40973e-02,-7.99e-02,
3.40993e-02,4.00e-02,
3.41013e-02,-7.99e-02,
3.41033e-02,2.76e+00,
3.41053e-02,-7.99e-02,
3.41073e-02,2.76e+00,
3.41093e-02,-7.99e-02,
3.41113e-02,4.00e-02,
